Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,88.660004,91.349998,86.680000,89.730003,89.730003,8731900
2022-04-12,93.769997,95.360001,83.510002,83.959999,83.959999,11783100
2022-04-13,83.870003,88.800003,82.080002,88.019997,88.019997,8371900
2022-04-14,87.610001,88.620003,82.339996,82.610001,82.610001,9169000
2022-04-18,82.290001,83.879997,79.010002,81.720001,81.720001,8451400
2022-04-19,81.589996,88.019997,81.279999,87.500000,87.500000,7136300
2022-04-20,87.900002,88.720001,78.440002,79.629997,79.629997,10153800
2022-04-21,81.760002,83.089996,72.500000,75.300003,75.300003,11187400
2022-04-22,75.220001,77.550003,72.949997,74.930000,74.930000,9213400
2022-04-25,74.830002,80.650002,74.309998,79.589996,79.589996,8505400
2022-04-26,77.839996,79.290001,73.800003,75.489998,75.489998,6521700
2022-04-27,74.580002,77.379997,71.089996,71.839996,71.839996,6507600
2022-04-28,74.230003,80.279999,71.540001,78.099998,78.099998,9306900
2022-04-29,77.470001,83.970001,74.690002,75.019997,75.019997,7514600
2022-05-02,73.139999,83.620003,72.449997,83.599998,83.599998,7461300
2022-05-03,82.235001,86.055000,80.160004,85.459999,85.459999,5908700
2022-05-04,83.724998,94.430000,83.500000,93.570000,93.570000,11244100
2022-05-05,90.514000,92.169998,86.720001,89.040001,89.040001,6928800
2022-05-06,88.339996,89.699997,79.570000,83.889999,83.889999,7899600
2022-05-09,80.849998,85.760002,76.230003,77.129997,77.129997,18088500
2022-05-10,33.980000,38.470001,29.020000,33.610001,33.610001,68822500
2022-05-11,31.639999,32.470001,25.430000,28.000000,28.000000,28747800
2022-05-12,27.410000,33.650002,26.780001,32.779999,32.779999,17912400
2022-05-13,35.250000,38.290001,33.160000,38.130001,38.130001,16614800
2022-05-16,37.380001,40.330002,36.990002,37.790001,37.790001,8817800
2022-05-17,38.889999,46.869999,38.680000,46.660000,46.660000,17297700
2022-05-18,43.650002,53.000000,43.349998,48.340000,48.340000,24315600
2022-05-19,49.000000,54.750000,44.049999,51.580002,51.580002,19498800
2022-05-20,48.430000,50.439999,40.130001,44.700001,44.700001,23575300
2022-05-23,43.520000,45.099998,41.040001,41.950001,41.950001,8816600
2022-05-24,40.200001,40.599998,35.500000,37.150002,37.150002,10413600
2022-05-25,37.389999,41.150002,36.619999,40.470001,40.470001,7670700
2022-05-26,38.639999,44.369999,38.599998,43.099998,43.099998,6699800
2022-05-27,44.209999,51.410000,43.369999,50.330002,50.330002,12756700
2022-05-31,51.660000,54.689999,48.200001,50.400002,50.400002,12798400
2022-06-01,52.139999,54.150002,45.250000,45.959999,45.959999,10214000
2022-06-02,45.000000,53.110001,43.480000,51.709999,51.709999,8716000
2022-06-03,49.270000,50.766998,46.439999,48.540001,48.540001,6496800
2022-06-06,50.340000,51.110001,45.650002,46.099998,46.099998,5305300
2022-06-07,45.380001,46.698002,43.900002,45.540001,45.540001,6649600
