Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,40.340000,72.669998,38.049999,62.189999,62.189999,30196500
2021-02-01,63.000000,105.580002,61.009998,65.639999,65.639999,19282400
2021-03-01,66.779999,165.660004,42.511002,128.860001,128.860001,90669800
2021-04-01,133.940002,156.270004,89.330002,109.019997,109.019997,47151700
2021-05-01,111.120003,171.869995,80.849998,148.220001,148.220001,84414500
2021-06-01,150.000000,191.889999,114.199997,124.900002,124.900002,138505800
2021-07-01,126.000000,130.899994,107.260002,120.760002,120.760002,62941400
2021-08-01,122.000000,230.380005,121.000000,229.119995,229.119995,141783400
2021-09-01,228.326996,346.540009,222.750000,316.440002,316.440002,112255400
2021-10-01,311.834015,401.489990,281.130005,322.040009,322.040009,92175100
2021-11-01,323.779999,355.420013,189.000000,204.889999,204.889999,100093600
2021-12-01,206.289993,209.029999,128.449997,151.300003,151.300003,124894500
2022-01-01,153.619995,155.600006,75.150002,109.010002,109.010002,134966000
2022-02-01,111.300003,158.660004,93.220001,157.990005,157.990005,221280900
2022-03-01,160.000000,161.000000,85.000000,109.089996,109.089996,326466200
2022-04-01,109.260002,116.900002,71.089996,75.019997,75.019997,182266000
2022-05-01,73.139999,94.430000,25.430000,50.400002,50.400002,342289500
2022-06-01,52.139999,54.150002,29.889999,31.620001,31.620001,137192700
2022-07-01,32.060001,36.250000,22.416000,24.330000,24.330000,160934300
2022-08-01,24.030001,37.669998,23.170000,25.900000,25.900000,236898500
2022-09-01,25.219999,29.334999,20.219999,20.790001,20.790001,134703400
2022-10-01,20.969999,26.094999,20.120001,23.180000,23.180000,127476700
2022-11-01,24.670000,25.139999,14.020000,19.549999,19.549999,134172900
2022-12-01,20.000000,20.090000,12.010000,13.220000,13.220000,78856300
2023-01-01,13.580000,20.700001,12.530000,18.680000,18.680000,126766300
2023-02-01,18.360001,26.350000,15.280000,18.510000,18.510000,161839700
2023-03-01,18.670000,19.900000,12.720000,15.890000,15.890000,122103600
2023-04-01,15.700000,18.290001,14.910000,15.400000,15.400000,40066500
2023-04-14,15.840000,16.348200,14.911800,15.400000,15.400000,3941539
